Date,Open,High,Low,Close,Volume,Adj Close
2015-05-22,80.84,81.58,80.72,81.25,3386100,81.25
2015-05-21,80.54,81.17,80.41,80.76,4243500,80.76
2015-05-20,81.41,81.45,80.78,80.96,3966500,80.96
2015-05-19,80.37,81.60,80.37,81.36,6056900,81.36
2015-05-18,80.28,80.55,79.78,80.17,4567400,80.17
2015-05-15,80.90,81.16,79.99,80.22,4422900,80.22
2015-05-14,80.34,80.90,80.27,80.75,4397800,80.75
2015-05-13,79.50,80.01,79.27,79.86,5448000,79.86
2015-05-12,79.15,79.43,78.44,79.08,4520600,79.08
2015-05-11,79.05,80.25,79.01,79.70,5805500,79.70
2015-05-08,78.89,79.64,78.77,78.98,7176600,78.98
2015-05-07,77.84,78.74,77.60,78.43,7915800,78.43
2015-05-06,78.70,78.85,77.39,77.85,5896600,77.85
2015-05-05,77.98,78.52,77.78,77.84,5308000,77.84
2015-05-04,77.96,78.54,77.74,78.28,3896700,78.28
2015-05-01,77.85,77.89,77.31,77.68,3845500,77.68
2015-04-30,77.04,77.68,76.98,77.45,6689000,77.45
2015-04-29,77.13,77.47,77.00,77.16,4287900,77.16
2015-04-28,77.69,77.73,76.94,77.49,6474100,77.49
2015-04-27,77.83,77.96,77.04,77.49,6880100,77.49
2015-04-24,78.30,78.33,77.77,77.99,3386700,77.99
2015-04-23,78.06,78.37,77.74,78.15,4803600,78.15
2015-04-22,77.41,78.65,77.18,78.44,7311200,78.44
2015-04-21,77.38,77.80,77.24,77.28,5122100,77.28
2015-04-20,77.39,77.85,76.96,77.23,8432600,77.23
2015-04-17,78.40,78.50,76.53,77.32,22077000,77.32
2015-04-16,79.43,81.17,79.25,80.91,7952200,80.91
2015-04-15,79.43,80.30,79.42,79.75,6018400,79.75
2015-04-14,79.60,79.97,78.89,79.49,4213200,79.49
2015-04-13,79.73,79.99,79.26,79.27,4092000,79.27
2015-04-10,79.42,79.97,79.20,79.59,3442000,79.59
2015-04-09,78.63,79.33,78.41,79.16,4288100,79.16
2015-04-08,78.42,79.36,78.30,78.69,6405800,78.69
2015-04-07,78.59,79.38,78.26,78.33,5919200,78.33
2015-04-06,79.34,80.10,78.73,79.63,3831100,79.63
2015-04-02,78.93,79.77,78.57,79.70,5695200,79.70
2015-04-01,78.05,79.32,77.85,78.93,6163500,78.93
2015-03-31,77.89,78.53,77.62,78.12,5918300,78.12
2015-03-30,78.35,78.75,78.00,78.05,7285200,77.79
2015-03-27,78.40,78.64,77.71,77.97,9022600,77.71027
2015-03-26,79.67,79.78,77.89,78.48,16181300,78.21857
2015-03-25,81.42,81.47,80.03,80.11,8908000,79.84314
2015-03-24,82.04,82.16,81.27,81.37,5217800,81.09895
2015-03-23,82.70,83.54,82.20,82.20,7291700,81.92617
2015-03-20,81.79,83.06,81.50,82.70,9338100,82.42451
2015-03-19,81.84,81.96,80.94,81.54,4677000,81.26838
2015-03-18,80.58,82.32,80.27,81.86,6449400,81.58731
2015-03-17,81.20,81.21,80.55,81.06,4258200,80.78997
2015-03-16,80.88,81.65,80.75,81.50,5295100,81.22851
2015-03-13,81.50,81.65,79.95,80.60,6919400,80.3315
2015-03-12,80.10,82.00,80.03,81.56,9386600,81.28831
2015-03-11,79.40,79.75,79.11,79.45,4546200,79.18533
2015-03-10,79.73,79.77,78.87,79.11,7525000,78.84647
2015-03-09,80.15,80.83,79.95,80.51,5846100,80.24181
2015-03-06,80.63,81.15,80.06,80.31,6530200,80.04247
2015-03-05,80.66,81.40,80.64,81.15,5571800,80.87968
2015-03-04,81.55,81.56,80.56,80.63,6141000,80.3614
2015-03-03,80.99,81.93,80.90,81.91,6856100,81.63715
2015-03-02,81.59,82.21,81.56,82.03,5503100,81.75674
2015-02-27,83.25,83.38,81.52,81.59,8121200,81.31821
2015-02-26,83.01,83.47,82.41,83.25,8702800,82.97268
2015-02-25,81.16,82.25,80.87,82.17,8184700,81.89628
2015-02-24,80.30,81.70,80.26,80.86,10951000,80.59064
2015-02-23,79.99,80.48,79.47,80.30,6868600,80.03251
2015-02-20,78.22,79.88,78.20,79.83,11348700,79.56407
2015-02-19,79.89,79.98,77.56,78.40,20858000,78.13884
2015-02-18,78.72,80.27,78.72,79.78,13417000,79.51424
2015-02-17,77.16,79.32,77.12,79.08,18578300,78.81657
2015-02-13,79.44,79.75,77.72,78.08,34874400,77.8199
2015-02-12,80.03,81.53,80.00,80.48,32653100,80.21191
2015-02-11,85.87,86.18,85.32,86.01,4374800,85.72349
2015-02-10,85.60,85.97,85.12,85.84,3589900,85.55405
2015-02-09,84.53,85.25,84.30,84.98,3101300,84.69692
2015-02-06,85.11,86.01,84.77,85.01,5102900,84.72682
2015-02-05,84.25,84.93,84.08,84.73,3966600,84.44775
2015-02-04,83.50,84.47,83.33,83.61,6155700,83.33148
2015-02-03,82.58,83.77,82.54,83.73,5586200,83.45108
2015-02-02,80.96,82.25,80.85,82.13,5459300,81.85641
2015-01-30,82.12,82.20,80.56,80.69,7210500,80.42121
2015-01-29,82.07,82.33,81.16,82.00,7545900,81.72684
2015-01-28,82.80,83.39,81.71,81.73,7942200,81.45775
2015-01-27,82.50,83.28,82.08,82.40,6329500,82.12551
2015-01-26,83.78,84.30,83.12,83.30,6632800,83.02251
2015-01-23,84.43,85.32,83.96,84.13,7366100,83.84975
2015-01-22,84.50,86.12,83.50,84.37,16390100,84.08895
2015-01-21,87.56,87.72,86.77,87.67,7185700,87.37795
2015-01-20,86.46,87.72,86.42,87.26,6364100,86.96932
2015-01-16,85.54,86.21,84.74,86.04,6768700,85.75339
2015-01-15,87.07,88.03,84.55,85.88,5830900,85.59392
2015-01-14,87.44,88.42,86.25,87.07,6628400,86.77995
2015-01-13,90.27,91.14,88.43,89.23,3529400,88.93276
2015-01-12,90.50,90.94,89.08,89.50,3230700,89.20186
2015-01-09,91.58,91.80,90.24,90.42,3681700,90.11879
2015-01-08,91.44,91.81,91.00,91.58,3774200,91.27493
2015-01-07,91.01,91.01,89.53,90.30,5665200,89.9992
2015-01-06,90.79,90.90,87.94,88.63,4800300,88.07562
2015-01-05,92.46,92.78,90.32,90.56,3469600,89.99355
2015-01-02,93.17,93.94,92.14,93.02,2437500,92.43816
2014-12-31,94.65,94.75,93.00,93.04,2306200,92.45804
2014-12-30,94.23,94.46,94.03,94.27,1425100,93.68034
2014-12-29,94.00,94.89,94.00,94.27,1483000,93.68034
2014-12-26,94.20,94.80,94.20,94.29,1439900,93.70022
2014-12-24,93.96,94.79,93.96,94.08,1321500,93.49153
2014-12-23,93.70,94.28,93.65,93.82,2864800,93.23316
2014-12-22,92.99,93.66,92.83,93.62,2910800,93.03441
2014-12-19,92.96,93.91,92.35,92.90,7170300,92.31892
2014-12-18,91.70,93.21,91.49,93.17,4554200,92.58722
2014-12-17,88.56,90.57,88.34,90.44,5204400,89.87431
2014-12-16,89.37,90.79,88.19,88.24,4948800,87.68806
2014-12-15,91.44,91.58,89.15,90.04,4766700,89.47681
2014-12-12,92.40,93.02,90.94,91.00,4480300,90.4308
2014-12-11,93.11,94.62,92.95,93.13,4419100,92.54747
2014-12-10,92.86,93.69,92.56,92.75,4658000,92.16985
2014-12-09,92.19,93.40,91.98,93.36,4069100,92.77604
2014-12-08,92.68,93.89,92.40,93.56,4467600,92.97478
2014-12-05,92.29,92.86,92.05,92.65,2872600,92.07048
2014-12-04,91.85,91.85,91.19,91.83,3991000,91.25561
2014-12-03,92.61,93.12,91.05,91.25,5911100,90.67924
2014-12-02,92.60,93.00,92.32,93.00,3108100,92.41829
2014-12-01,92.07,92.63,91.66,92.14,3343000,91.56367
2014-11-28,91.61,92.55,91.58,92.42,3070000,91.84191
2014-11-26,91.71,91.71,90.93,91.45,2218200,90.87798
2014-11-25,91.20,91.58,90.76,91.40,3309600,90.8283
2014-11-24,90.80,91.17,90.21,91.04,3459500,90.47055
2014-11-21,91.66,91.68,90.30,90.39,4039200,89.82462
2014-11-20,89.83,90.91,89.82,90.62,2825700,90.05318
2014-11-19,90.30,90.76,90.02,90.50,2661200,89.93392
2014-11-18,90.21,90.93,90.03,90.58,2175500,90.01343
2014-11-17,90.24,90.26,89.65,90.13,2620500,89.56624
2014-11-14,91.07,91.24,90.35,90.67,2361600,90.10286
2014-11-13,91.70,91.70,90.94,91.07,3637900,90.50036
2014-11-12,91.16,91.67,91.10,91.55,3825200,90.97736
2014-11-11,92.28,92.59,91.49,91.74,2719800,91.16617
2014-11-10,92.21,92.43,91.85,92.40,2938700,91.82204
2014-11-07,91.71,92.48,91.23,92.26,3669200,91.68291
2014-11-06,92.13,92.20,91.11,91.58,6005800,91.00717
2014-11-05,91.76,92.45,91.76,92.42,3617600,91.84191
2014-11-04,90.62,91.43,90.50,91.38,3163100,90.80842
2014-11-03,90.32,91.21,90.22,90.85,3707900,90.28173
2014-10-31,89.94,90.60,89.37,89.95,6848600,89.38736
2014-10-30,88.59,89.49,88.20,88.74,5069300,88.18493
2014-10-29,88.24,88.99,87.65,88.34,4592500,87.78743
