Date,Open,High,Low,Close,Volume,Adj Close
2015-05-22,47.30,47.35,46.82,46.90,25682200,46.90
2015-05-21,47.28,47.60,47.01,47.42,22410700,47.42
2015-05-20,47.39,47.93,47.27,47.58,25047900,47.58
2015-05-19,47.56,47.81,47.18,47.58,28574800,47.58
2015-05-18,47.98,48.22,47.61,48.01,24136500,47.70
2015-05-15,48.87,48.91,48.05,48.30,28642700,47.98813
2015-05-14,48.03,48.82,48.03,48.72,32980900,48.40542
2015-05-13,48.19,48.32,47.57,47.63,34184600,47.32246
2015-05-12,46.85,47.68,46.42,47.35,29928300,47.04426
2015-05-11,47.55,47.91,47.37,47.37,24609400,47.06413
2015-05-08,47.55,47.98,47.52,47.75,35364900,47.44168
2015-05-07,46.27,47.09,46.16,46.70,32971700,46.39846
2015-05-06,47.57,47.77,46.02,46.28,52433000,45.98117
2015-05-05,47.82,48.16,47.31,47.60,50369200,47.29265
2015-05-04,48.37,48.87,48.18,48.24,34039500,47.92852
2015-05-01,48.58,48.88,48.40,48.66,38937300,48.3458
2015-04-30,48.70,49.54,48.60,48.64,64725500,48.32593
2015-04-29,48.72,49.31,48.50,49.06,47804600,48.74322
2015-04-28,47.78,49.21,47.70,49.16,60730800,48.84258
2015-04-27,47.23,48.13,47.22,48.03,59248200,47.71987
2015-04-24,45.66,48.14,45.65,47.87,130933700,47.56091
2015-04-23,42.89,43.61,42.80,43.34,46309500,43.06015
2015-04-22,42.67,43.13,42.55,42.99,25064300,42.71242
2015-04-21,43.00,43.15,42.53,42.64,26013800,42.36467
2015-04-20,41.73,43.17,41.68,42.91,46057700,42.63293
2015-04-17,41.67,41.74,41.16,41.62,42387600,41.35126
2015-04-16,41.95,42.34,41.82,42.16,22509700,41.88778
2015-04-15,41.76,42.46,41.68,42.26,27343600,41.98713
2015-04-14,41.80,42.03,41.39,41.65,24244400,41.38107
2015-04-13,41.40,42.06,41.39,41.76,30276700,41.49036
2015-04-10,41.63,41.95,41.41,41.72,28022000,41.45061
2015-04-09,41.25,41.62,41.25,41.48,25723900,41.21217
2015-04-08,41.46,41.69,41.04,41.42,24753400,41.15255
2015-04-07,41.61,41.91,41.31,41.53,28809400,41.26184
2015-04-06,40.34,41.78,40.18,41.55,39223700,41.28171
2015-04-02,40.66,40.74,40.12,40.29,37487500,40.02985
2015-04-01,40.60,40.76,40.31,40.72,36865300,40.45707
2015-03-31,40.78,41.03,40.54,40.66,34887200,40.39746
2015-03-30,41.10,41.54,40.91,40.96,35049700,40.69552
2015-03-27,41.12,41.43,40.83,40.97,34401400,40.70546
2015-03-26,41.22,41.61,40.92,41.21,37495600,40.94391
2015-03-25,42.92,42.93,41.44,41.46,43469900,41.19229
2015-03-24,42.78,43.17,42.75,42.90,25513300,42.623
2015-03-23,42.88,43.13,42.78,42.86,26246100,42.58326
2015-03-20,42.56,42.98,42.49,42.88,71904500,42.60313
2015-03-19,42.26,42.59,42.22,42.29,33879100,42.01694
2015-03-18,41.43,42.83,41.33,42.50,44194800,42.22558
2015-03-17,41.37,41.83,41.15,41.70,31673400,41.43074
2015-03-16,41.47,41.64,41.28,41.56,35273500,41.29165
2015-03-13,40.70,41.47,40.61,41.38,58007700,41.11281
2015-03-12,41.33,41.65,40.86,41.02,59992500,40.75513
2015-03-11,42.31,42.37,41.84,41.98,32215300,41.70893
2015-03-10,42.35,42.71,42.03,42.03,39159700,41.75861
2015-03-09,42.19,43.13,42.19,42.85,32108000,42.57332
2015-03-06,43.00,43.11,42.15,42.36,36248800,42.08648
2015-03-05,43.07,43.24,42.82,43.11,23193500,42.83164
2015-03-04,43.01,43.21,42.88,43.06,25748700,42.78196
2015-03-03,43.56,43.83,43.09,43.28,31748600,43.00054
2015-03-02,43.67,44.19,43.55,43.88,31924000,43.59667
2015-02-27,44.13,44.20,43.66,43.85,33807700,43.56686
2015-02-26,43.99,44.23,43.89,44.06,28957300,43.77551
2015-02-25,43.95,44.09,43.80,43.99,29759800,43.70596
2015-02-24,44.15,44.30,43.92,44.09,25271700,43.80531
2015-02-23,43.70,44.19,43.65,44.15,32518800,43.86493
2015-02-20,43.51,43.88,43.29,43.86,29721100,43.5768
2015-02-19,43.18,43.53,43.05,43.50,27603400,43.21912
2015-02-18,43.63,43.70,43.39,43.53,27111700,43.24893
2015-02-17,43.97,44.00,43.19,43.58,33695700,43.29861
2015-02-13,43.38,43.87,43.15,43.87,40264900,43.27873
2015-02-12,42.66,43.09,42.51,43.09,33268800,42.50925
2015-02-11,42.65,42.65,42.21,42.38,38262500,41.80882
2015-02-10,42.74,42.77,42.18,42.60,29670700,42.02585
2015-02-09,42.24,42.74,42.21,42.36,31381100,41.78909
2015-02-06,42.68,42.79,42.15,42.41,34311700,41.83841
2015-02-05,42.22,42.64,41.86,42.45,36548200,41.87787
2015-02-04,41.94,42.21,41.36,41.84,41614800,41.27609
2015-02-03,41.63,41.93,41.05,41.60,52082400,41.03933
2015-02-02,40.59,41.37,40.23,41.28,50352500,40.72364
2015-01-30,41.55,41.58,40.35,40.40,78004900,39.8555
2015-01-29,40.93,42.12,40.79,42.01,63585300,41.4438
2015-01-28,42.74,42.79,41.16,41.19,84507100,40.63485
2015-01-27,42.95,43.20,42.11,42.66,169164000,42.08504
2015-01-26,47.00,47.13,46.24,47.01,42525500,46.37641
2015-01-23,47.36,47.39,46.80,47.18,26211600,46.54412
2015-01-22,46.38,47.14,46.08,47.13,35898000,46.4948
2015-01-21,45.94,46.14,45.48,45.92,39081100,45.3011
2015-01-20,46.30,46.65,45.57,46.39,36161900,45.76477
2015-01-16,45.31,46.28,45.17,46.24,35695300,45.61679
2015-01-15,46.22,46.38,45.41,45.48,32742300,44.86703
2015-01-14,45.96,46.24,45.62,45.96,29719600,45.34056
2015-01-13,46.97,47.91,46.06,46.36,35270600,45.73518
2015-01-12,47.42,47.54,46.36,46.60,23651900,45.97194
2015-01-09,47.61,47.82,46.90,47.19,23942800,46.55399
2015-01-08,46.75,47.75,46.72,47.59,29645200,46.9486
2015-01-07,45.98,46.46,45.49,46.23,29114100,45.60693
2015-01-06,46.38,46.75,45.54,45.65,36447900,45.03474
2015-01-05,46.37,46.73,46.25,46.33,39673900,45.70558
2015-01-02,46.66,47.42,46.54,46.76,27913900,46.12978
2014-12-31,46.73,47.44,46.45,46.45,21552500,45.82396
