Date,Open,High,Low,Close,Volume,Adj Close
2015-05-22,197.33,197.87,195.00999,196.23,1412100,196.23
2015-05-21,194.39,197.06,193.25999,197.03999,2230200,197.03999
2015-05-20,194.87,195.00,191.64,193.80,1500500,193.80
2015-05-19,197.25999,197.30,193.03,194.22,2470600,194.22
2015-05-18,191.50,199.00,191.00,198.38,3802900,198.38
2015-05-15,195.02,195.94,193.20,195.66,1516900,195.66
2015-05-14,198.20,198.20,192.75,194.49001,3739900,194.49001
2015-05-13,200.53,200.67999,195.25999,196.87,2086100,196.87
2015-05-12,200.00,200.87,198.00,200.24001,1355700,200.24001
2015-05-11,199.00,202.64999,197.33,200.25999,2078400,200.25999
2015-05-08,202.94,204.28999,197.88,198.72,2965200,198.72
2015-05-07,199.82001,202.94,199.00999,201.41,2088000,201.41
2015-05-06,200.00,200.64,196.11,200.22,3089000,200.22
2015-05-05,203.28999,203.42,198.64,199.83,4146100,199.83
2015-05-04,208.39999,209.25,200.36,203.42,5836200,203.42
2015-05-01,252.13,252.13,198.39999,205.21001,16812700,205.21001
2015-04-30,256.39999,256.78,250.16,252.13,3144200,252.13
2015-04-29,256.03,259.14001,255.25,257.14999,1093900,257.14999
2015-04-28,261.14001,262.51999,255.52,257.34,1550300,257.34
2015-04-27,262.76001,264.70001,259.50,260.29001,1055500,260.29001
2015-04-24,258.32001,262.76001,257.23999,260.95001,1318000,260.95001
2015-04-23,258.45999,260.13,256.06,256.23999,849000,256.23999
2015-04-22,259.07001,260.87,257.09,259.35001,879500,259.35001
2015-04-21,260.64001,262.38,257.91,258.42001,1136000,258.42001
2015-04-20,255.39999,265.56,253.80,258.51999,2121700,258.51999
2015-04-17,256.25,257.06,252.28,253.75,1118000,253.75
2015-04-16,257.01001,259.53,256.48001,257.07001,835800,257.07001
2015-04-15,258.98001,259.98999,256.47,257.19,902600,257.19
2015-04-14,262.03,264.57999,256.29001,257.50,1509300,257.50
2015-04-13,264.00,266.53,261.63,263.16,1454900,263.16
2015-04-10,260.50,265.45999,260.01999,265.35001,2305900,265.35001
2015-04-09,251.02,256.50,247.64999,256.14001,1481200,256.14001
2015-04-08,250.56,255.84,250.32001,252.25999,1061100,252.25999
2015-04-07,248.50999,253.53,248.50999,249.81,936900,249.81
2015-04-06,246.00999,251.67999,245.35001,249.31,821600,249.31
2015-04-02,249.71001,250.28,246.88,248.82001,651100,248.82001
2015-04-01,249.92,251.05,246.23,248.32001,1113900,248.32001
2015-03-31,254.46001,255.37,249.86,249.86,1105200,249.86
2015-03-30,257.89999,258.98001,252.81,255.19,791700,255.19
2015-03-27,256.00,258.04999,253.81,256.70999,577500,256.70999
2015-03-26,254.09,256.70001,252.33,255.78999,849100,255.78999
2015-03-25,264.17999,264.60999,255.03999,256.04999,1174600,256.04999
2015-03-24,262.92999,267.28,261.88,264.16,1110600,264.16
2015-03-23,264.25,264.87,260.75,261.84,664000,261.84
2015-03-20,262.50,265.10999,261.01001,264.25,1198200,264.25
2015-03-19,259.89999,263.00,258.10999,260.57999,750900,260.57999
2015-03-18,258.51999,260.45999,255.45,260.14999,1594600,260.14999
